dataset,metric,iterations,pulse_mean,rc_msps_mean,mean_diff,ci_low,ci_high,good_rate
NINCO,AUROC,2000,0.8360525475446504,0.7923918218412996,0.04366072570335091,0.03977915338492948,0.04758540984861375,1.0
NINCO,FPR95,2000,0.6665982309916654,0.7364436979078075,-0.0698454669161422,-0.08487838067698583,-0.05510716108181667,1.0
NINCO,AUPR_OUT,2000,0.371796166146751,0.3111346206000285,0.06066154554672246,0.05170228114656825,0.06922692931727566,1.0
SSB-hard,AUROC,2000,0.6104665766262245,0.5819242754373469,0.02854230118887755,0.026658425923469366,0.030484792392857195,1.0
SSB-hard,FPR95,2000,0.8845897040816327,0.9003140102040815,-0.01572430612244898,-0.020775510204081638,-0.011040306122449012,1.0
SSB-hard,AUPR_OUT,2000,0.6018004243783751,0.5783723522192503,0.023428072159124746,0.020947356661119833,0.025882979273988416,1.0
macro,AUROC,2000,0.7232595620854374,0.6871580486393232,0.03610151344611423,0.03370936606105437,0.03840549000841423,1.0
macro,FPR95,2000,0.775593967536649,0.8183788540559447,-0.04278488651929559,-0.05195663521319403,-0.03395402704541586,1.0
macro,AUPR_OUT,2000,0.48679829526256296,0.44475348640963935,0.04204480885292361,0.03688256864994406,0.04700265921484116,1.0
