dataset,images,parallel_wall_seconds,aggregate_gpu_process_seconds,images_per_wall_second
NINCO,5879,56.274582624435425,212.65589380264282,104.46989965674545
SSB-hard,49000,192.83871793746948,758.332729101181,254.09834977169317
