backbone,seed,id_size,id_set_id,id_set,method,AUROC,FPR95,AUPR_OUT,source
dinov2_vitl14,1,2,14,leopard|ocelot,mahalanobis,0.926264309698209,0.3045922464773308,0.9743670984321487,verified_v1
dinov2_vitb14,1,2,14,leopard|ocelot,mahalanobispp,0.894026579287649,0.3938088632547273,0.9601632589738484,verified_v1
dinov2_vitb14,0,2,0,cheetah|jaguar,maxlogit,0.8891691621478225,0.383627493184101,0.96570977589854,verified_v1
dinov2_vitb14,1,2,14,leopard|ocelot,maxlogit,0.7993246389753823,0.6506534277579031,0.927261375749392,verified_v1
dinov2_vitb14,0,2,0,cheetah|jaguar,msp,0.8891680771560154,0.383627493184101,0.9657092021939628,verified_v1
dinov2_vitl14,0,2,0,cheetah|jaguar,mahalanobispp,0.9139730523224104,0.38090113359162,0.9708946800541074,verified_v1
dinov2_vitl14,1,2,14,leopard|ocelot,mahalanobispp,0.9258956799315468,0.3122581587208878,0.9741138760117258,verified_v1
dinov2_vitb14,1,2,14,leopard|ocelot,msp,0.7992817517134883,0.6510914798861065,0.927229873555836,verified_v1
dinov2_vitb14,0,2,0,cheetah|jaguar,nci,0.8949042528941912,0.491820921222557,0.9584366670057328,verified_v1
dinov2_vitl14,0,2,0,cheetah|jaguar,maxlogit,0.8983563938078442,0.3654039316975175,0.9687775655684722,verified_v1
dinov2_vitl14,1,2,14,leopard|ocelot,maxlogit,0.7793561588830343,0.5726071402496897,0.9264675155756932,verified_v1
dinov2_vitb14,1,2,14,leopard|ocelot,nci,0.8380918528083158,0.7575381470394977,0.9252468890119884,verified_v1
dinov2_vitb14,0,2,0,cheetah|jaguar,openmax,0.8892013600127932,0.383627493184101,0.965623104744519,verified_v1
dinov2_vitl14,0,2,0,cheetah|jaguar,msp,0.8983774094149137,0.3654756780025828,0.9687837959368296,verified_v1
dinov2_vitl14,1,2,14,leopard|ocelot,msp,0.7793728733943315,0.5726071402496897,0.9264645604755865,verified_v1
dinov2_vitb14,1,2,14,leopard|ocelot,openmax,0.7992851708019582,0.6506534277579031,0.9271524221695768,verified_v1
dinov2_vitb14,0,2,0,cheetah|jaguar,react,0.4972608159998561,0.9603960396039604,0.7683574456702968,verified_v1
dinov2_vitl14,0,2,0,cheetah|jaguar,nci,0.9078976651367304,0.348400057397044,0.9664606839133024,verified_v1
dinov2_vitl14,1,2,14,leopard|ocelot,nci,0.8614146816736654,0.5142731985106228,0.9490054388616812,verified_v1
dinov2_vitb14,1,2,14,leopard|ocelot,react,0.3759932753962598,0.9981747827991532,0.6762089419286099,verified_v1
dinov2_vitl14,0,2,0,cheetah|jaguar,openmax,0.8984011130647479,0.3654756780025828,0.968810141332802,verified_v1
dinov2_vitl14,1,2,14,leopard|ocelot,openmax,0.7793530278156041,0.5726071402496897,0.9265103734788116,verified_v1
dinov2_vitb14,0,2,0,cheetah|jaguar,rmd,0.8692313722546287,0.3980485005022241,0.9613903213212518,verified_v1
dinov2_vitl14,0,2,0,cheetah|jaguar,react,0.5704452141695628,0.9829243793944612,0.7685992564617813,verified_v1
dinov2_vitl14,1,2,14,leopard|ocelot,react,0.5800645810065956,0.9137037307439584,0.816857876784114,verified_v1
dinov2_vitb14,1,2,14,leopard|ocelot,rmd,0.7829690111845631,0.658392348689494,0.9227190904733532,verified_v1
dinov2_vitb14,0,2,0,cheetah|jaguar,rsn_paper,0.896184318408147,0.3456736978045631,0.9696944688388432,verified_v1
dinov2_vitb14,1,2,14,leopard|ocelot,rsn_paper,0.9221905586963371,0.2978754471782142,0.9749076606778064,verified_v1
dinov2_vitb14,0,2,0,cheetah|jaguar,rsn_reported,0.8800193480430853,0.3728655474243076,0.9627508581497932,verified_v1
dinov2_vitl14,0,2,0,cheetah|jaguar,rmd,0.904403835123472,0.4187831826660927,0.9658923008094444,verified_v1
dinov2_vitl14,1,2,14,leopard|ocelot,rmd,0.908075279334418,0.4055632620281813,0.9653963845516992,verified_v1
dinov2_vitb14,0,2,0,cheetah|jaguar,scale,0.8561728605036786,0.4287559190701679,0.9543867438654692,verified_v1
dinov2_vitb14,1,2,14,leopard|ocelot,rsn_reported,0.9128886126199336,0.3613199970796524,0.9687269472767768,verified_v1
dinov2_vitl14,0,2,0,cheetah|jaguar,rsn_paper,0.9166546144603798,0.3118094418137466,0.976293636404422,verified_v1
dinov2_vitl14,1,2,14,leopard|ocelot,rsn_paper,0.9346918703534426,0.2331167408921661,0.9797379832022896,verified_v1
dinov2_vitb14,1,2,14,leopard|ocelot,scale,0.6608236736496409,0.884573264218442,0.8560897934187834,verified_v1
dinov2_vitb14,0,2,0,cheetah|jaguar,vim,0.8886175757725046,0.4236619314105324,0.9596367293495158,verified_v1
dinov2_vitl14,0,2,0,cheetah|jaguar,rsn_reported,0.9063887152250352,0.3531353135313531,0.9714457782961644,verified_v1
dinov2_vitl14,1,2,14,leopard|ocelot,rsn_reported,0.9304365360226148,0.2952471344089947,0.9761379335830492,verified_v1
dinov2_vitb14,0,2,1,cheetah|leopard,ashb,0.6689104075814841,0.9107477308745138,0.8532702036186239,verified_v1
dinov2_vitb14,1,2,14,leopard|ocelot,vim,0.9020422791472784,0.3855588815068993,0.9619824458080434,verified_v1
dinov2_vitl14,0,2,0,cheetah|jaguar,scale,0.8917754884124829,0.3742287272205481,0.9651382045764596,verified_v1
dinov2_vitl14,1,2,14,leopard|ocelot,scale,0.7702152351497606,0.5808571219975177,0.9255980244727982,verified_v1
dinov2_vitb14,0,2,1,cheetah|leopard,ashp,0.6139812303424237,0.9733467800028814,0.8133973918982569,verified_v1
dinov2_vitb14,1,2,15,leopard|puma,ashb,0.411231168631441,0.9579121920404297,0.6748380775863346,verified_v1
dinov2_vitb14,0,2,1,cheetah|leopard,ashs,0.588569515020513,0.9559141334101714,0.8126719463875447,verified_v1
dinov2_vitb14,1,2,15,leopard|puma,ashp,0.381347546470039,0.9778111181301328,0.6430541188362209,verified_v1
dinov2_vitl14,0,2,0,cheetah|jaguar,vim,0.921479182037384,0.365762663222844,0.9732214793863982,verified_v1
dinov2_vitl14,1,2,14,leopard|ocelot,vim,0.9331323293341084,0.3029130466525516,0.9756248795697108,verified_v1
dinov2_vitb14,0,2,1,cheetah|leopard,dice,0.9143794259150606,0.5922777697738079,0.9620048591142044,verified_v1
dinov2_vitb14,1,2,15,leopard|puma,ashs,0.4870889098271309,0.9382501579279848,0.7224377351088422,verified_v1
dinov2_vitl14,0,2,1,cheetah|leopard,ashb,0.411288308179601,0.917879268116986,0.7748488331148913,verified_v1
dinov2_vitb14,0,2,1,cheetah|leopard,energy,0.7693742859743457,0.6411900302550065,0.9256287726968024,verified_v1
dinov2_vitl14,1,2,15,leopard|puma,ashb,0.5344160789403127,0.9554643082754264,0.7264957316714487,verified_v1
dinov2_vitb14,1,2,15,leopard|puma,dice,0.8274265975424597,0.8682880606443462,0.889192062827115,verified_v1
dinov2_vitb14,0,2,1,cheetah|leopard,entropy,0.7693156095278332,0.6413341017144504,0.9251047734932306,verified_v1
dinov2_vitl14,0,2,1,cheetah|leopard,ashp,0.5178707189490626,0.9468376314652068,0.7979053431011176,verified_v1
dinov2_vitl14,1,2,15,leopard|puma,ashp,0.4443610988681382,0.958701831964624,0.685749248900922,verified_v1
dinov2_vitb14,1,2,15,leopard|puma,energy,0.8423402094706887,0.6268161718256475,0.919754436776176,verified_v1
dinov2_vitb14,0,2,1,cheetah|leopard,gen,0.7693156095278332,0.6413341017144504,0.9251047734932306,verified_v1
dinov2_vitl14,0,2,1,cheetah|leopard,ashs,0.4359385250253207,0.937977236709408,0.7747626844403394,verified_v1
dinov2_vitl14,1,2,15,leopard|puma,ashs,0.5017466605965286,0.969756790903348,0.6997307636597115,verified_v1
dinov2_vitb14,1,2,15,leopard|puma,entropy,0.8423507045841508,0.6269740998104865,0.920092345259534,verified_v1
dinov2_vitb14,0,2,1,cheetah|leopard,gradnorm,0.7764210662014929,0.645440138308601,0.9268406581200191,verified_v1
dinov2_vitl14,0,2,1,cheetah|leopard,dice,0.9324952519444814,0.40541708687509,0.9625756076727834,verified_v1
dinov2_vitl14,1,2,15,leopard|puma,dice,0.8546697159944321,0.801168667087808,0.9049407978358256,verified_v1
dinov2_vitb14,1,2,15,leopard|puma,gen,0.8423507045841508,0.6269740998104865,0.920092345259534,verified_v1
dinov2_vitb14,0,2,1,cheetah|leopard,kl_matching,0.7401280117063668,0.6537962829563464,0.9159359778259162,verified_v1
dinov2_vitl14,0,2,1,cheetah|leopard,energy,0.842044301316448,0.4701772078951159,0.949470282558855,verified_v1
dinov2_vitl14,1,2,15,leopard|puma,energy,0.8586466399213937,0.5139766266582438,0.9347239412480118,verified_v1
dinov2_vitb14,1,2,15,leopard|puma,gradnorm,0.8352961821275682,0.6380290587492103,0.9171562946017128,verified_v1
dinov2_vitl14,0,2,1,cheetah|leopard,entropy,0.8422470202225135,0.4678720645440138,0.9505013852691696,verified_v1
dinov2_vitl14,1,2,15,leopard|puma,entropy,0.8585848866419533,0.5146873025900189,0.934490683426845,verified_v1
dinov2_vitb14,1,2,15,leopard|puma,kl_matching,0.7534023741522113,0.6730890713834492,0.8861671057351255,verified_v1
dinov2_vitl14,0,2,1,cheetah|leopard,gen,0.8422470202225135,0.4678720645440138,0.9505013852691696,verified_v1
dinov2_vitl14,1,2,15,leopard|puma,gen,0.8585848866419533,0.5146873025900189,0.934490683426845,verified_v1
dinov2_vitl14,0,2,1,cheetah|leopard,gradnorm,0.8400664894038652,0.4666474571387408,0.950064937583344,verified_v1
dinov2_vitb14,0,2,1,cheetah|leopard,knn,0.9274604261684808,0.3134994957498919,0.9741229539854352,verified_v1
dinov2_vitl14,1,2,15,leopard|puma,gradnorm,0.8567586812013882,0.5174510423247,0.9340376161035542,verified_v1
dinov2_vitl14,0,2,1,cheetah|leopard,kl_matching,0.8339672709547993,0.4758680305431494,0.9476041952722548,verified_v1
dinov2_vitl14,1,2,15,leopard|puma,kl_matching,0.7988418550790175,0.5453253316487682,0.91097580600726,verified_v1
dinov2_vitb14,0,2,1,cheetah|leopard,mahalanobis,0.9171480648604606,0.3751620803918744,0.9681809034853286,verified_v1
dinov2_vitb14,1,2,15,leopard|puma,knn,0.8730336660960635,0.4906822488945041,0.9399536095032534,verified_v1
dinov2_vitb14,0,2,1,cheetah|leopard,mahalanobispp,0.9163438785444344,0.3830139749315661,0.9674402740131746,verified_v1
dinov2_vitb14,0,2,1,cheetah|leopard,maxlogit,0.7693211485070509,0.6413341017144504,0.9251044483440014,verified_v1
dinov2_vitb14,1,2,15,leopard|puma,mahalanobis,0.8578324610056008,0.6103916614024005,0.9251958482311368,verified_v1
dinov2_vitl14,0,2,1,cheetah|leopard,knn,0.9386778740806164,0.2934015271574701,0.979248149971713,verified_v1
dinov2_vitb14,0,2,1,cheetah|leopard,msp,0.7693156095278332,0.6413341017144504,0.9251047734932306,verified_v1
dinov2_vitb14,0,2,1,cheetah|leopard,nci,0.852164006680647,0.6656101426307448,0.9395182724957898,verified_v1
dinov2_vitb14,1,2,15,leopard|puma,mahalanobispp,0.8515973769568493,0.6254737839545167,0.9209319503896436,verified_v1
dinov2_vitl14,1,2,15,leopard|puma,knn,0.9125835025919028,0.371367656348705,0.96193198872622,verified_v1
dinov2_vitb14,0,2,1,cheetah|leopard,openmax,0.7692758990101601,0.6413341017144504,0.924917423857372,verified_v1
dinov2_vitl14,0,2,1,cheetah|leopard,mahalanobis,0.9358663152962516,0.3648609710416367,0.9775560235602708,verified_v1
dinov2_vitb14,1,2,15,leopard|puma,maxlogit,0.8423497338458323,0.626895135818067,0.9200919896196018,verified_v1
dinov2_vitb14,0,2,1,cheetah|leopard,react,0.5887520983354604,0.8646448638524709,0.845663307040702,verified_v1
dinov2_vitb14,1,2,15,leopard|puma,msp,0.8423507045841508,0.6269740998104865,0.920092345259534,verified_v1
dinov2_vitl14,1,2,15,leopard|puma,mahalanobis,0.901051656518791,0.4676247631080227,0.9541390179897512,verified_v1
dinov2_vitl14,0,2,1,cheetah|leopard,mahalanobispp,0.9348540837608112,0.3753781875810402,0.977210153399234,verified_v1
dinov2_vitb14,1,2,15,leopard|puma,nci,0.6155708686077359,0.8656822488945041,0.8010265984520736,verified_v1
dinov2_vitb14,0,2,1,cheetah|leopard,rmd,0.7717052198953482,0.6447918167411036,0.9251684198509608,verified_v1
dinov2_vitl14,0,2,1,cheetah|leopard,maxlogit,0.8422216259844592,0.4685203861115113,0.950470019468949,verified_v1
dinov2_vitb14,1,2,15,leopard|puma,openmax,0.8423522720878296,0.6269740998104865,0.9201048148269916,verified_v1
dinov2_vitb14,0,2,1,cheetah|leopard,rsn_paper,0.926492032801893,0.3052874225615905,0.9774715539636988,verified_v1
dinov2_vitl14,1,2,15,leopard|puma,mahalanobispp,0.9001073668408011,0.4665192672141503,0.9538761596264526,verified_v1
dinov2_vitl14,0,2,1,cheetah|leopard,msp,0.8422470202225135,0.4678720645440138,0.9505013852691696,verified_v1
dinov2_vitb14,1,2,15,leopard|puma,react,0.6583842955036929,0.979943145925458,0.7476490133482847,verified_v1
dinov2_vitl14,1,2,15,leopard|puma,maxlogit,0.8585909099936523,0.51452937460518,0.934502430024448,verified_v1
dinov2_vitb14,0,2,1,cheetah|leopard,rsn_reported,0.9256289090403332,0.3284829275320559,0.9754715564948342,verified_v1
dinov2_vitl14,0,2,1,cheetah|leopard,nci,0.8672787499701302,0.4194640541708687,0.9550006418389032,verified_v1
dinov2_vitl14,1,2,15,leopard|puma,msp,0.8585848866419533,0.5146873025900189,0.934490683426845,verified_v1
dinov2_vitb14,0,2,1,cheetah|leopard,scale,0.7509471557796048,0.6558853191182826,0.9205492525921009,verified_v1
dinov2_vitl14,0,2,1,cheetah|leopard,openmax,0.8422796547667353,0.4680161360034577,0.950551689809675,verified_v1
dinov2_vitb14,1,2,15,leopard|puma,rmd,0.7268239090874602,0.6762476310802275,0.8785010489893731,verified_v1
dinov2_vitl14,1,2,15,leopard|puma,nci,0.7262222422947566,0.6963044851547694,0.8731584761669478,verified_v1
dinov2_vitl14,0,2,1,cheetah|leopard,react,0.810432815256077,0.6736061086298805,0.9317442927120247,verified_v1
dinov2_vitb14,1,2,15,leopard|puma,rsn_paper,0.8968377451321133,0.4003474415666456,0.956135273077643,verified_v1
dinov2_vitb14,0,2,1,cheetah|leopard,vim,0.914653938885088,0.3774672237429765,0.967659416912724,verified_v1
dinov2_vitl14,1,2,15,leopard|puma,openmax,0.8585191867542661,0.51452937460518,0.9341491464327558,verified_v1
dinov2_vitb14,1,2,15,leopard|puma,rsn_reported,0.902521951098723,0.373104864181933,0.9566735208548968,verified_v1
dinov2_vitb14,0,2,2,cheetah|lion,ashb,0.6857947878146371,0.8305889561154937,0.8515563686942008,verified_v1
dinov2_vitl14,1,2,15,leopard|puma,react,0.7290734121330958,0.7548957675300063,0.8671029489524589,verified_v1
dinov2_vitl14,0,2,1,cheetah|leopard,rmd,0.923290493147403,0.4110358737934015,0.970622041075501,verified_v1
dinov2_vitb14,0,2,2,cheetah|lion,ashp,0.4931436553891195,0.9830742130657883,0.7078143578687068,verified_v1
dinov2_vitb14,1,2,15,leopard|puma,scale,0.8314979536199691,0.6132343651295009,0.9171897593169804,verified_v1
dinov2_vitl14,0,2,1,cheetah|leopard,rsn_paper,0.9268950539564242,0.3182538539115401,0.9776387551159228,verified_v1
dinov2_vitb14,0,2,2,cheetah|lion,ashs,0.5669097180799155,0.952209542773991,0.7574133199478422,verified_v1
dinov2_vitl14,1,2,15,leopard|puma,rmd,0.8609940443135359,0.4906822488945041,0.9366638519399128,verified_v1
dinov2_vitb14,1,2,15,leopard|puma,vim,0.8622305898804381,0.5918351231838281,0.927290932576002,verified_v1
dinov2_vitb14,0,2,2,cheetah|lion,dice,0.9498594360204896,0.3229685226315386,0.9754611788159312,verified_v1
dinov2_vitl14,0,2,1,cheetah|leopard,rsn_reported,0.9341217301752682,0.3262498199106757,0.9777907507272856,verified_v1
dinov2_vitl14,1,2,15,leopard|puma,rsn_paper,0.914533469211236,0.3564434617814276,0.96435353339632,verified_v1
dinov2_vitb14,1,2,16,leopard|serval,ashb,0.4811300416005643,0.9293573480972738,0.8132328770425111,verified_v1
dinov2_vitb14,0,2,2,cheetah|lion,energy,0.8609001146654998,0.6869878226238799,0.929636355060056,verified_v1
dinov2_vitl14,0,2,1,cheetah|leopard,scale,0.8381517425879952,0.4801901743264659,0.9469137210764144,verified_v1
dinov2_vitb14,0,2,2,cheetah|lion,entropy,0.8609862353775066,0.685839013555947,0.9305893550491972,verified_v1
dinov2_vitb14,1,2,16,leopard|serval,ashp,0.4818105697219516,0.9922909804471232,0.7694641943943994,verified_v1
dinov2_vitl14,1,2,15,leopard|puma,rsn_reported,0.9237301485605192,0.3253316487681617,0.9663600165580836,verified_v1
dinov2_vitb14,0,2,2,cheetah|lion,gen,0.8609862353775066,0.685839013555947,0.9305893550491972,verified_v1
dinov2_vitb14,1,2,16,leopard|serval,ashs,0.4795079680223179,0.9779942532763332,0.7848771235517277,verified_v1
dinov2_vitl14,1,2,15,leopard|puma,scale,0.8636675690395457,0.5104232469993683,0.9362732728473568,verified_v1
dinov2_vitl14,0,2,1,cheetah|leopard,vim,0.9364121125817536,0.3493012534216971,0.9778921721064098,verified_v1
dinov2_vitb14,0,2,2,cheetah|lion,gradnorm,0.8608096773999747,0.6947997242858237,0.929840858595489,verified_v1
dinov2_vitb14,1,2,16,leopard|serval,dice,0.801685571165031,0.8408437872310603,0.9236754552445968,verified_v1
dinov2_vitl14,0,2,2,cheetah|lion,ashb,0.636138704377963,0.8353373669296162,0.8338507632407564,verified_v1
dinov2_vitb14,0,2,2,cheetah|lion,kl_matching,0.785498423178987,0.7007735314390748,0.9059487289353506,verified_v1
dinov2_vitb14,1,2,16,leopard|serval,energy,0.8831856507144638,0.5265961174574252,0.9623722059217846,verified_v1
dinov2_vitl14,1,2,15,leopard|puma,vim,0.9035987147297352,0.4516740366392925,0.95489645899061,verified_v1
dinov2_vitl14,0,2,2,cheetah|lion,ashp,0.6205783283063576,0.9306885195680478,0.8002773612811547,verified_v1
dinov2_vitb14,1,2,16,leopard|serval,entropy,0.8831541587005022,0.5272268554208424,0.96211733828912,verified_v1
dinov2_vitl14,1,2,16,leopard|serval,ashb,0.596743310316502,0.8463802649099447,0.8670024775170597,verified_v1
dinov2_vitl14,0,2,2,cheetah|lion,ashs,0.6605005583163266,0.8715631462051007,0.8340855486866996,verified_v1
dinov2_vitb14,1,2,16,leopard|serval,gen,0.8831541587005022,0.5272268554208424,0.96211733828912,verified_v1
dinov2_vitl14,1,2,16,leopard|serval,ashp,0.5462899098647831,0.951783586796552,0.8241845445351161,verified_v1
dinov2_vitl14,0,2,2,cheetah|lion,dice,0.972349655913467,0.120854713946542,0.984474447188726,verified_v1
dinov2_vitb14,1,2,16,leopard|serval,gradnorm,0.8856367460801942,0.5370383348517765,0.9624966877193588,verified_v1
dinov2_vitb14,0,2,2,cheetah|lion,knn,0.9553858698453598,0.2701233055066248,0.9799018830638336,verified_v1
dinov2_vitl14,0,2,2,cheetah|lion,energy,0.921812120468294,0.423833958796048,0.9591312320424864,verified_v1
dinov2_vitl14,1,2,16,leopard|serval,ashs,0.5919382991176829,0.86943724157264,0.8640738889561678,verified_v1
dinov2_vitb14,1,2,16,leopard|serval,kl_matching,0.8261394801235288,0.5469899782745813,0.9482811421883928,verified_v1
dinov2_vitl14,0,2,2,cheetah|lion,entropy,0.9221552149511548,0.4229149115417017,0.9619453284324386,verified_v1
dinov2_vitl14,1,2,16,leopard|serval,dice,0.8192954836694231,0.8581540402270657,0.9290344811245212,verified_v1
dinov2_vitb14,0,2,2,cheetah|lion,mahalanobis,0.9423485655840228,0.3611855709581067,0.9727130246903548,verified_v1
dinov2_vitl14,0,2,2,cheetah|lion,gen,0.9221552149511548,0.4229149115417017,0.9619453284324386,verified_v1
dinov2_vitl14,1,2,16,leopard|serval,energy,0.836129650899178,0.6650781414254678,0.9466603306882136,verified_v1
dinov2_vitb14,0,2,2,cheetah|lion,mahalanobispp,0.9387410711922188,0.4006280156238033,0.9707347136632936,verified_v1
dinov2_vitl14,0,2,2,cheetah|lion,gradnorm,0.9198614589947526,0.4294248295933215,0.9611585825819946,verified_v1
dinov2_vitl14,1,2,16,leopard|serval,entropy,0.8362937183421493,0.6638166654986334,0.9469799089742936,verified_v1
dinov2_vitb14,1,2,16,leopard|serval,knn,0.8714059047536616,0.648188380405074,0.9484399202768644,verified_v1
dinov2_vitb14,0,2,2,cheetah|lion,maxlogit,0.8609754229578752,0.6862219499119246,0.9305663760290442,verified_v1
dinov2_vitl14,0,2,2,cheetah|lion,kl_matching,0.887482444122467,0.4364708585433101,0.9508010642604698,verified_v1
dinov2_vitl14,1,2,16,leopard|serval,gen,0.8362937183421493,0.6638166654986334,0.9469799089742936,verified_v1
dinov2_vitb14,0,2,2,cheetah|lion,msp,0.8609862353775066,0.685839013555947,0.9305893550491972,verified_v1
dinov2_vitl14,1,2,16,leopard|serval,gradnorm,0.8350530561626928,0.6608732216693531,0.946708387666506,verified_v1
dinov2_vitb14,1,2,16,leopard|serval,mahalanobis,0.8435724757752092,0.7866003223771812,0.9356424924985428,verified_v1
dinov2_vitb14,0,2,2,cheetah|lion,nci,0.7928779458563501,0.8632151336447882,0.881390199969136,verified_v1
dinov2_vitl14,1,2,16,leopard|serval,kl_matching,0.763095390865579,0.6858224122223001,0.928452594161708,verified_v1
dinov2_vitb14,1,2,16,leopard|serval,mahalanobispp,0.8420502330294213,0.8042609853528628,0.9342724783044036,verified_v1
dinov2_vitb14,0,2,2,cheetah|lion,openmax,0.8609687419764064,0.6859156008271425,0.9305829697777313,verified_v1
dinov2_vitb14,1,2,16,leopard|serval,maxlogit,0.8831563820346002,0.5270166094330366,0.9621219506265148,verified_v1
dinov2_vitb14,0,2,2,cheetah|lion,react,0.6050880941258404,0.956881366316918,0.7663934452389679,verified_v1
dinov2_vitl14,0,2,2,cheetah|lion,knn,0.9708608572520464,0.2068622194991192,0.9864937117450994,verified_v1
dinov2_vitb14,1,2,16,leopard|serval,msp,0.8831541587005022,0.5272268554208424,0.96211733828912,verified_v1
