id_size,metric,rank,method,n,value
4,FPR95,2,rmd,420,0.575771
4,FPR95,3,knn,420,0.595091
4,FPR95,4,energy,420,0.599007
4,FPR95,5,gen,420,0.599154
4,FPR95,6,entropy,420,0.599292
4,FPR95,7,gradnorm,420,0.601876
4,FPR95,8,scale,420,0.608654
4,FPR95,9,maxlogit,420,0.613432
4,FPR95,10,openmax,420,0.615869
4,FPR95,11,msp,420,0.617658
4,FPR95,12,kl_matching,420,0.625833
4,FPR95,13,nci,420,0.71827
4,FPR95,14,mahalanobis,420,0.724894
4,FPR95,15,vim,420,0.73233
4,FPR95,16,mahalanobispp,420,0.735126
4,FPR95,17,dice,420,0.816218
4,FPR95,18,react,420,0.839798
4,FPR95,19,ashb,420,0.933865
4,FPR95,20,ashs,420,0.942246
4,FPR95,21,ashp,420,0.954607
4,AUPR_OUT,1,rsn_reported,420,0.843133
4,AUPR_OUT,2,openmax,420,0.84228
4,AUPR_OUT,3,msp,420,0.840954
4,AUPR_OUT,4,maxlogit,420,0.840673
4,AUPR_OUT,5,entropy,420,0.840498
4,AUPR_OUT,6,gradnorm,420,0.84017
4,AUPR_OUT,7,gen,420,0.839511
4,AUPR_OUT,8,energy,420,0.838623
4,AUPR_OUT,9,rmd,420,0.837577
4,AUPR_OUT,10,knn,420,0.83112
4,AUPR_OUT,11,scale,420,0.830322
4,AUPR_OUT,12,kl_matching,420,0.820402
4,AUPR_OUT,13,mahalanobis,420,0.788367
4,AUPR_OUT,14,vim,420,0.788095
4,AUPR_OUT,15,nci,420,0.784857
4,AUPR_OUT,16,mahalanobispp,420,0.784116
4,AUPR_OUT,17,dice,420,0.751639
4,AUPR_OUT,18,react,420,0.645976
4,AUPR_OUT,19,ashs,420,0.518418
4,AUPR_OUT,20,ashb,420,0.518004
4,AUPR_OUT,21,ashp,420,0.501515
5,AUROC,1,openmax,336,0.865778
5,AUROC,2,rsn_reported,336,0.862379
5,AUROC,3,msp,336,0.860744
5,AUROC,4,maxlogit,336,0.859113
5,AUROC,5,knn,336,0.856499
5,AUROC,6,entropy,336,0.853
5,AUROC,7,gradnorm,336,0.852483
5,AUROC,8,gen,336,0.84975
5,AUROC,9,energy,336,0.848047
5,AUROC,10,scale,336,0.846565
5,AUROC,11,rmd,336,0.845797
5,AUROC,12,kl_matching,336,0.836222
5,AUROC,13,mahalanobis,336,0.826339
5,AUROC,14,vim,336,0.826204
5,AUROC,15,nci,336,0.825011
5,AUROC,16,mahalanobispp,336,0.823161
5,AUROC,17,dice,336,0.764434
5,AUROC,18,react,336,0.681473
5,AUROC,19,ashs,336,0.54362
5,AUROC,20,ashp,336,0.539387
5,AUROC,21,ashb,336,0.516418
5,FPR95,1,rsn_reported,336,0.595234
5,FPR95,2,rmd,336,0.601826
5,FPR95,3,knn,336,0.6401
5,FPR95,4,openmax,336,0.656373
5,FPR95,5,kl_matching,336,0.662402
5,FPR95,6,energy,336,0.669812
5,FPR95,7,gen,336,0.670032
5,FPR95,8,entropy,336,0.670242
5,FPR95,9,scale,336,0.6705
5,FPR95,10,gradnorm,336,0.671684
5,FPR95,11,maxlogit,336,0.679567
5,FPR95,12,msp,336,0.681303
5,FPR95,13,nci,336,0.762499
5,FPR95,14,mahalanobis,336,0.773237
5,FPR95,15,mahalanobispp,336,0.78212
5,FPR95,16,vim,336,0.784752
5,FPR95,17,dice,336,0.83371
5,FPR95,18,react,336,0.838879
5,FPR95,19,ashb,336,0.936816
5,FPR95,20,ashs,336,0.940381
5,FPR95,21,ashp,336,0.946502
5,AUPR_OUT,1,rmd,336,0.756151
5,AUPR_OUT,2,openmax,336,0.746032
5,AUPR_OUT,3,rsn_reported,336,0.741777
5,AUPR_OUT,4,msp,336,0.736174
5,AUPR_OUT,5,maxlogit,336,0.735371
5,AUPR_OUT,6,entropy,336,0.732611
5,AUPR_OUT,7,gradnorm,336,0.730585
5,AUPR_OUT,8,gen,336,0.730478
5,AUPR_OUT,9,energy,336,0.729421
5,AUPR_OUT,10,scale,336,0.72708
5,AUPR_OUT,11,kl_matching,336,0.726478
5,AUPR_OUT,12,knn,336,0.725532
5,AUPR_OUT,13,nci,336,0.67296
5,AUPR_OUT,14,mahalanobis,336,0.664185
5,AUPR_OUT,15,vim,336,0.659655
5,AUPR_OUT,16,mahalanobispp,336,0.659361
5,AUPR_OUT,17,dice,336,0.617513
5,AUPR_OUT,18,react,336,0.542362
5,AUPR_OUT,19,ashs,336,0.406402
5,AUPR_OUT,20,ashp,336,0.398405
5,AUPR_OUT,21,ashb,336,0.398353
6,AUROC,1,openmax,168,0.853413
6,AUROC,2,msp,168,0.847459
6,AUROC,3,maxlogit,168,0.845568
6,AUROC,4,rsn_reported,168,0.845382
6,AUROC,5,rmd,168,0.840512
6,AUROC,6,knn,168,0.839741
6,AUROC,7,entropy,168,0.835259
6,AUROC,8,kl_matching,168,0.832834
6,AUROC,9,gradnorm,168,0.830579
6,AUROC,10,gen,168,0.83042
6,AUROC,11,energy,168,0.828573
6,AUROC,12,scale,168,0.824629
6,AUROC,13,nci,168,0.812192
6,AUROC,14,mahalanobis,168,0.804893
6,AUROC,15,vim,168,0.802297
6,AUROC,16,mahalanobispp,168,0.801617
6,AUROC,17,dice,168,0.721918
6,AUROC,18,react,168,0.676024
6,AUROC,19,ashp,168,0.538393
6,AUROC,20,ashs,168,0.53473
6,AUROC,21,ashb,168,0.500984
6,FPR95,1,rmd,168,0.624516
6,FPR95,2,rsn_reported,168,0.633589
6,FPR95,3,knn,168,0.683533
6,FPR95,4,kl_matching,168,0.684377
6,FPR95,5,openmax,168,0.686254
6,FPR95,6,gradnorm,168,0.75024
6,FPR95,7,msp,168,0.750647
6,FPR95,8,maxlogit,168,0.750971
6,FPR95,9,entropy,168,0.751498
6,FPR95,10,energy,168,0.752008
6,FPR95,11,gen,168,0.752109
6,FPR95,12,scale,168,0.754488
6,FPR95,13,nci,168,0.805226
6,FPR95,14,mahalanobis,168,0.810184
6,FPR95,15,mahalanobispp,168,0.818296
6,FPR95,16,vim,168,0.824764
6,FPR95,17,dice,168,0.850421
6,FPR95,18,react,168,0.862474
6,FPR95,19,ashs,168,0.942065
6,FPR95,20,ashb,168,0.94308
6,FPR95,21,ashp,168,0.94365
6,AUPR_OUT,1,rmd,168,0.633876
6,AUPR_OUT,2,openmax,168,0.604408
6,AUPR_OUT,3,rsn_reported,168,0.595276
6,AUPR_OUT,4,kl_matching,168,0.59366
6,AUPR_OUT,5,knn,168,0.577471
6,AUPR_OUT,6,msp,168,0.570364
6,AUPR_OUT,7,maxlogit,168,0.568455
6,AUPR_OUT,8,entropy,168,0.557752
6,AUPR_OUT,9,gen,168,0.553911
6,AUPR_OUT,10,gradnorm,168,0.552608
6,AUPR_OUT,11,energy,168,0.552577
6,AUPR_OUT,12,scale,168,0.547387
6,AUPR_OUT,13,nci,168,0.515583
6,AUPR_OUT,14,mahalanobis,168,0.505061
6,AUPR_OUT,15,mahalanobispp,168,0.500567
6,AUPR_OUT,16,vim,168,0.495534
6,AUPR_OUT,17,dice,168,0.447416
6,AUPR_OUT,18,react,168,0.394317
6,AUPR_OUT,19,ashp,168,0.276171
6,AUPR_OUT,20,ashs,168,0.276136
6,AUPR_OUT,21,ashb,168,0.265453
7,AUROC,1,openmax,48,0.834254
7,AUROC,2,msp,48,0.830435
7,AUROC,3,rmd,48,0.828435
7,AUROC,4,maxlogit,48,0.828374
7,AUROC,5,kl_matching,48,0.822657
7,AUROC,6,rsn_reported,48,0.822429
7,AUROC,7,knn,48,0.817101
7,AUROC,8,entropy,48,0.812976
7,AUROC,9,gen,48,0.806822
7,AUROC,10,energy,48,0.804916
7,AUROC,11,scale,48,0.804801
7,AUROC,12,gradnorm,48,0.801538
7,AUROC,13,nci,48,0.793354
7,AUROC,14,mahalanobis,48,0.776996
7,AUROC,15,mahalanobispp,48,0.773643
7,AUROC,16,vim,48,0.772486
7,AUROC,17,react,48,0.746413
7,AUROC,18,dice,48,0.67645
7,AUROC,19,ashs,48,0.549843
7,AUROC,20,ashb,48,0.530316
7,AUROC,21,ashp,48,0.525363
7,FPR95,1,rmd,48,0.643945
7,FPR95,2,rsn_reported,48,0.685728
7,FPR95,3,kl_matching,48,0.70257
7,FPR95,4,openmax,48,0.706946
7,FPR95,5,knn,48,0.735543
7,FPR95,6,react,48,0.814888
7,FPR95,7,msp,48,0.823318
7,FPR95,8,maxlogit,48,0.825712
7,FPR95,9,gradnorm,48,0.834049
7,FPR95,10,entropy,48,0.837108
7,FPR95,11,gen,48,0.838543
7,FPR95,12,energy,48,0.83902
7,FPR95,13,scale,48,0.839882
7,FPR95,14,nci,48,0.846117
