id_size,method_a,method_b,metric,n,mean_diff,ci_low,ci_high,good_rate
3,rsn_reported,energy,AUPR_OUT,336,0.011073,0.004757,0.017388,0.541667
3,rsn_reported,entropy,AUROC,336,0.027915,0.020151,0.035678,0.577381
3,rsn_reported,entropy,FPR95,336,0.050137,0.024834,0.075441,0.604167
3,rsn_reported,entropy,AUPR_OUT,336,0.010035,0.003804,0.016266,0.53869
3,rsn_reported,gen,AUROC,336,0.028633,0.020797,0.036469,0.580357
3,rsn_reported,gen,FPR95,336,0.049843,0.024538,0.075147,0.60119
3,rsn_reported,gen,AUPR_OUT,336,0.010315,0.00406,0.016569,0.535714
3,rsn_reported,gradnorm,AUROC,336,0.025893,0.018545,0.033241,0.592262
3,rsn_reported,gradnorm,FPR95,336,0.059055,0.033919,0.084191,0.627976
3,rsn_reported,gradnorm,AUPR_OUT,336,0.010051,0.003952,0.01615,0.541667
3,rsn_reported,kl_matching,AUROC,336,0.062947,0.056049,0.069844,0.848214
3,rsn_reported,kl_matching,FPR95,336,0.080468,0.056236,0.104701,0.657738
3,rsn_reported,kl_matching,AUPR_OUT,336,0.029282,0.023227,0.035336,0.693452
3,rsn_reported,knn,AUROC,336,0.005449,0.00433,0.006568,0.729167
3,rsn_reported,knn,FPR95,336,0.0368,0.030467,0.043132,0.717262
3,rsn_reported,knn,AUPR_OUT,336,0.007227,0.006053,0.0084,0.755952
3,rsn_reported,mahalanobis,AUROC,336,0.024421,0.022363,0.026479,0.916667
3,rsn_reported,mahalanobis,FPR95,336,0.153116,0.142667,0.163564,0.979167
3,rsn_reported,mahalanobis,AUPR_OUT,336,0.030968,0.028563,0.033373,0.973214
3,rsn_reported,mahalanobispp,AUROC,336,0.027195,0.025014,0.029375,0.9375
3,rsn_reported,mahalanobispp,FPR95,336,0.165624,0.154658,0.176591,0.982143
3,rsn_reported,mahalanobispp,AUPR_OUT,336,0.034064,0.031466,0.036663,0.985119
3,rsn_reported,maxlogit,AUROC,336,0.025995,0.018525,0.033465,0.571429
3,rsn_reported,maxlogit,FPR95,336,0.061513,0.036096,0.08693,0.639881
3,rsn_reported,maxlogit,AUPR_OUT,336,0.0101,0.003978,0.016222,0.544643
3,rsn_reported,msp,AUROC,336,0.024783,0.017486,0.03208,0.568452
3,rsn_reported,msp,FPR95,336,0.064754,0.039393,0.090115,0.645833
3,rsn_reported,msp,AUPR_OUT,336,0.009925,0.003868,0.015983,0.541667
3,rsn_reported,nci,AUROC,336,0.067222,0.060085,0.074358,0.869048
3,rsn_reported,nci,FPR95,336,0.179136,0.154482,0.203791,0.767857
3,rsn_reported,nci,AUPR_OUT,336,0.053753,0.04674,0.060766,0.797619
3,rsn_reported,openmax,AUROC,336,0.022682,0.015801,0.029562,0.574405
3,rsn_reported,openmax,FPR95,336,0.074519,0.05013,0.098909,0.651786
