backbone,id_size,method,n,AUROC,FPR95,AUPR_OUT
dinov2_vitb14,3,nci,168,0.814633,0.758859,0.838981
dinov2_vitb14,3,openmax,168,0.873194,0.586179,0.900902
dinov2_vitb14,3,react,168,0.673859,0.847853,0.739989
dinov2_vitb14,3,rmd,168,0.842308,0.549759,0.892804
dinov2_vitb14,3,rsn_paper,168,0.881543,0.54697,0.902201
dinov2_vitb14,3,rsn_reported,168,0.887966,0.507885,0.907629
dinov2_vitb14,3,scale,168,0.857382,0.56292,0.895326
dinov2_vitb14,3,vim,168,0.856867,0.714117,0.865427
dinov2_vitl14,3,ashb,168,0.509707,0.934852,0.636056
dinov2_vitl14,3,ashp,168,0.496169,0.954024,0.618023
dinov2_vitl14,3,ashs,168,0.498417,0.944988,0.625066
dinov2_vitl14,3,dice,168,0.869915,0.750219,0.872926
dinov2_vitl14,3,energy,168,0.866175,0.54082,0.903074
dinov2_vitl14,3,entropy,168,0.868761,0.542791,0.904057
dinov2_vitl14,3,gen,168,0.86806,0.542442,0.903797
dinov2_vitl14,3,gradnorm,168,0.871094,0.547139,0.904753
dinov2_vitl14,3,kl_matching,168,0.836479,0.567748,0.886193
dinov2_vitl14,3,knn,168,0.90108,0.518773,0.914184
dinov2_vitl14,3,mahalanobis,168,0.890171,0.598282,0.899061
dinov2_vitl14,3,mahalanobispp,168,0.888343,0.605615,0.897396
dinov2_vitl14,3,maxlogit,168,0.870497,0.553219,0.903883
dinov2_vitl14,3,msp,168,0.871792,0.555679,0.904096
dinov2_vitl14,3,nci,168,0.843899,0.600337,0.878597
dinov2_vitl14,3,openmax,168,0.874418,0.563783,0.904441
dinov2_vitl14,3,react,168,0.61471,0.895996,0.690172
dinov2_vitl14,3,rmd,168,0.853151,0.557822,0.893487
dinov2_vitl14,3,rsn_paper,168,0.888216,0.544548,0.905327
dinov2_vitl14,3,rsn_reported,168,0.905009,0.493039,0.917455
dinov2_vitl14,3,scale,168,0.858383,0.552536,0.897347
dinov2_vitl14,3,vim,168,0.894665,0.599787,0.901082
ALL,4,ashb,420,0.511498,0.933865,0.518004
ALL,4,ashp,420,0.512142,0.954607,0.501515
ALL,4,ashs,420,0.525229,0.942246,0.518418
ALL,4,dice,420,0.804239,0.816218,0.751639
ALL,4,energy,420,0.862407,0.599007,0.838623
ALL,4,entropy,420,0.866,0.599292,0.840498
ALL,4,gen,420,0.864095,0.599154,0.839511
ALL,4,gradnorm,420,0.867591,0.601876,0.84017
ALL,4,kl_matching,420,0.83801,0.625833,0.820402
ALL,4,knn,420,0.872917,0.595091,0.83112
ALL,4,mahalanobis,420,0.847891,0.724894,0.788367
ALL,4,mahalanobispp,420,0.844862,0.735126,0.784116
ALL,4,maxlogit,420,0.869497,0.613432,0.840673
ALL,4,msp,420,0.870876,0.617658,0.840954
ALL,4,nci,420,0.832846,0.71827,0.784857
ALL,4,openmax,420,0.87414,0.615869,0.84228
ALL,4,react,420,0.674646,0.839798,0.645976
ALL,4,rmd,420,0.847859,0.575771,0.837577
ALL,4,rsn_paper,420,0.864964,0.614493,0.82551
ALL,4,rsn_reported,420,0.878812,0.552805,0.843133
ALL,4,scale,420,0.853335,0.608654,0.830322
ALL,4,vim,420,0.850153,0.73233,0.788095
dinov2_vitb14,4,ashb,210,0.528577,0.926224,0.531518
dinov2_vitb14,4,ashp,210,0.529733,0.951864,0.511527
dinov2_vitb14,4,ashs,210,0.55336,0.93604,0.535588
dinov2_vitb14,4,dice,210,0.773393,0.85816,0.720928
dinov2_vitb14,4,energy,210,0.858079,0.604898,0.834805
dinov2_vitb14,4,entropy,210,0.862046,0.604562,0.837004
dinov2_vitb14,4,gen,210,0.859947,0.604679,0.835871
dinov2_vitb14,4,gradnorm,210,0.86292,0.61362,0.835046
dinov2_vitb14,4,kl_matching,210,0.836679,0.631001,0.818457
dinov2_vitb14,4,knn,210,0.86027,0.610071,0.816232
dinov2_vitb14,4,mahalanobis,210,0.825533,0.784389,0.758979
dinov2_vitb14,4,mahalanobispp,210,0.821466,0.798595,0.752756
dinov2_vitb14,4,maxlogit,210,0.866116,0.616503,0.837465
dinov2_vitb14,4,msp,210,0.867636,0.62079,0.83782
dinov2_vitb14,4,nci,210,0.815991,0.793945,0.755638
dinov2_vitb14,4,openmax,210,0.869729,0.619265,0.838437
dinov2_vitb14,4,react,210,0.729789,0.801685,0.696143
dinov2_vitb14,4,rmd,210,0.850701,0.564595,0.843107
dinov2_vitb14,4,rsn_paper,210,0.860579,0.618392,0.82232
dinov2_vitb14,4,rsn_reported,210,0.868121,0.5623,0.834381
dinov2_vitb14,4,scale,210,0.843419,0.616418,0.821957
dinov2_vitb14,4,vim,210,0.826372,0.791592,0.757933
