proxy,method,legacy_macro_AUROC,AUROC,FPR95,AUPR_OUT
patch_shuffle4,PULSE,0.9114263360092222,0.7097159999999999,0.832,0.6913302671611679
patch_shuffle4,DeepPrototype,0.8899290047931596,0.6781889999999999,0.854,0.6501143231444508
patch_shuffle4,RC-MSPS,0.8876363198137707,0.6603499999999999,0.878,0.6317111462285478
patch_shuffle4,MSPS,0.8814656948374291,0.6611025,0.911,0.6097540210296917
patch_shuffle4,CauchyStageTail,0.8555907992525729,0.652662,0.935,0.5943406422961702
center_cutmix,PULSE,0.9114263360092222,0.6906609999999999,0.931,0.6229041165205108
center_cutmix,DeepPrototype,0.8899290047931596,0.6955085,0.92,0.6264785876010555
center_cutmix,RC-MSPS,0.8876363198137707,0.6619840000000001,0.943,0.5928400628162427
center_cutmix,MSPS,0.8814656948374291,0.5995835,0.989,0.5277688400195124
center_cutmix,CauchyStageTail,0.8555907992525729,0.422257,0.99,0.4337561586585335
phase_mix,PULSE,0.9114263360092222,0.942095,0.321,0.9356066543214862
phase_mix,DeepPrototype,0.8899290047931596,0.9521389999999998,0.203,0.9526380589276331
phase_mix,RC-MSPS,0.8876363198137707,0.9650089999999999,0.191,0.9608061649360281
phase_mix,MSPS,0.8814656948374291,0.977291,0.1,0.9702388860671125
phase_mix,CauchyStageTail,0.8555907992525729,0.973066,0.176,0.9624066823549637
