dataset,metric,iterations,pulse_mean,rc_msps_mean,mean_diff,ci_low,ci_high,good_rate
texture,AUROC,1000,0.9610511264147288,0.9601566769980621,0.0008944494166666692,-0.0022247705910851206,0.003999762306201601,0.708
texture,FPR95,1000,0.16710329457364342,0.19784437984496125,-0.030741085271317827,-0.04302325581395347,-0.0182170542635659,1.0
texture,AUPR_OUT,1000,0.8198011717334096,0.8069359104935417,0.012865261239867877,0.004899170486762211,0.021919273977544475,0.998
inaturalist,AUROC,1000,0.95411940801,0.952093282776,0.0020261252340000005,0.0006873203499998649,0.003403913474999992,0.999
inaturalist,FPR95,1000,0.24909429999999996,0.2489992,9.509999999999891e-05,-0.015502499999999985,0.01419999999999999,0.495
inaturalist,AUPR_OUT,1000,0.7528266234636409,0.8149205097412894,-0.06209388627764859,-0.06997407608472776,-0.054184872426331174,0.0
openimage_o,AUROC,1000,0.9093320670967558,0.8672653846290834,0.04206668246767241,0.03987571971415592,0.044078167890766795,1.0
openimage_o,FPR95,1000,0.4747727994555354,0.5559175362976407,-0.08114473684210526,-0.0949438520871143,-0.06822396778584397,1.0
openimage_o,AUPR_OUT,1000,0.7664743025356603,0.7082619441800175,0.05821235835564273,0.05309600281808148,0.06349789511505953,1.0
imagenet_o,AUROC,1000,0.820973532955,0.77083033374,0.050143199214999996,0.044000860624999985,0.056110254624999946,1.0
imagenet_o,FPR95,1000,0.7096585,0.7335395,-0.023881000000000013,-0.04349999999999998,-0.0044999999999999485,0.989
imagenet_o,AUPR_OUT,1000,0.16607384703557654,0.14743987992629717,0.01863396710927939,0.0077634706868846305,0.02934110185348851,1.0
macro,AUROC,1000,0.9113690336191211,0.8875864195357864,0.023782614083334767,0.02186420086179446,0.025759780803151385,1.0
macro,FPR95,1000,0.4001572235072947,0.43407515403565045,-0.03391793052835578,-0.04484074159561902,-0.023158173155045765,1.0
macro,AUPR_OUT,1000,0.6262939861920718,0.6193895610852864,0.006904425106785354,0.0008118272404100069,0.01314960474464023,0.987
