method,dataset,AUROC,FPR95,AUPR_OUT
PULSE,texture,0.9611498372093024,0.16647286821705426,0.8198614079609666
RC-MSPS,texture,0.9602096414728682,0.19806201550387598,0.8069810144233731
PULSE,inaturalist,0.9541282120000001,0.2486,0.7525283400189727
RC-MSPS,inaturalist,0.9520784729999999,0.2504,0.8148613598693619
PULSE,openimage_o,0.9093340948275862,0.4743080762250454,0.7664023214236448
RC-MSPS,openimage_o,0.8673072447822141,0.5562046279491834,0.7082840042193734
PULSE,imagenet_o,0.8210932,0.7105,0.1656441129723038
RC-MSPS,imagenet_o,0.77094992,0.733,0.14696557897808094
