id_size,id_train_n_mean,id_train_n_std,id_n_mean,id_n_std,ood_n_mean,ood_n_std,ood_prevalence_mean,ood_prevalence_std,id_class_count_mean,id_class_count_std,ood_class_count_mean,ood_class_count_std,min_class_bank_n_mean,min_class_bank_n_std,max_class_bank_n_mean,max_class_bank_n_std,mean_class_bank_n_mean,mean_class_bank_n_std,AUROC_mean,AUROC_std,FPR95_mean,FPR95_std,AUPR_OUT_mean,AUPR_OUT_std,AUPR_OUT_BALANCED_mean,AUPR_OUT_BALANCED_std,MACRO_AUROC_mean,MACRO_AUROC_std,MACRO_AUPR_OUT_mean,MACRO_AUPR_OUT_std
2,17598.083333333332,2823.3529233060676,4397.75,703.7858764427144,13193.25,704.288129575586,0.75,0.040004352570977536,2.0,0.0,6.0,0.0,7441.273809523809,1326.4239651626683,10156.809523809523,1957.3780304071904,8799.041666666666,1411.6764616530338,0.9168620068436832,0.030566017799733242,0.43069809194395847,0.18766734491514808,0.9590279117005069,0.019630249281013968,0.8914715721087015,0.04923801454582752,0.9095381051244568,0.034479072569083606,0.7742788849396747,0.0757382574091047
3,26397.125,3151.8898272045953,6596.625,785.7373279331089,10994.375,785.9616388610799,0.625,0.04465942041920729,3.0,0.0,5.0,0.0,6903.386904761905,807.9647984469966,10976.690476190477,1612.2487380864238,8799.041666666666,1050.6299424015326,0.8964875280357005,0.032413864908250295,0.5004616655469656,0.17058270004124618,0.912541672262544,0.034906787314797696,0.8668068286937547,0.04858305715056471,0.8870509719097077,0.03610996902930352,0.6613614112426289,0.0818079970567364
4,35196.166666666664,3254.2867921950565,8795.5,811.3507477038053,8795.5,811.350747703805,0.5,0.04611028886438625,4.0,0.0,4.0,0.0,6639.6,569.34658524389,11522.471428571429,1229.5162219316921,8799.041666666666,813.5716980487641,0.8788115422534948,0.0388306182535315,0.5528047459041302,0.17106803941727355,0.8431329161695251,0.059500710494981034,0.8449826050520535,0.05317639923010045,0.8679576358814821,0.04243031231950431,0.5693474416725157,0.09398254082219148
5,43995.208333333336,3151.890498996069,10994.375,785.9616388610792,6596.625,785.7373279331092,0.375,0.04465942041920724,5.0,0.0,3.0,0.0,6471.785714285715,484.8508143269621,11890.125,891.967198295891,8799.041666666666,630.3780997992142,0.8623789212547452,0.05228315386472147,0.595233882776756,0.1860865954643842,0.7417773815195448,0.10096584303893517,0.8235359150108171,0.0650059394876544,0.8511730454365706,0.05583732924228905,0.49568104497090104,0.11805039179963125
6,52794.25,2823.3544277243864,13193.25,704.2881295755865,4397.75,703.7858764427142,0.24999999999999994,0.040004352570977536,6.0,0.0,2.0,0.0,6334.773809523809,400.21603002278283,12144.82142857143,644.1068673318541,8799.041666666666,470.55907128739756,0.8453824118306738,0.07814720704757187,0.6335892730214432,0.2262824841863053,0.5952763206264686,0.16566834675348135,0.7979217078545114,0.09135570269805186,0.8361047854337995,0.08080369860227732,0.43642934170920256,0.157126484987736
7,61593.291666666664,2172.698321955201,15392.125,542.5602280519922,2198.875,541.5668609632766,0.12499999999999996,0.030785125444349,7.0,0.0,1.0,0.0,6214.75,287.5351227389632,12337.916666666666,463.81873905118954,8799.041666666666,310.3854745650289,0.8224288435354952,0.13585513599145052,0.6857278658321005,0.3085877043251867,0.38805751797448607,0.2377070374407341,0.7560788304074793,0.1460331745944751,0.8224288435354952,0.13585513599145052,0.38805751797448607,0.2377070374407341
