,cheetah,jaguar,leopard,lion,ocelot,puma,serval,tiger
cheetah,0.9217025748817657,0.0015764582238570678,0.01208617971623752,0.04203888596952181,0.0021019442984760903,0.004729374671571204,0.01418812401471361,0.0015764582238570678
jaguar,0.0011318619128466328,0.8138087153367289,0.0311262026032824,0.0011318619128466328,0.08488964346349745,0.056593095642331635,0.0022637238256932655,0.009054895302773062
leopard,0.021941854086670324,0.04827207899067471,0.8392759188151399,0.012068019747668678,0.021941854086670324,0.0405924300603401,0.010422380691168404,0.005485463521667581
lion,0.0056646525679758305,0.0015105740181268882,0.0011329305135951663,0.9633685800604229,0.00037764350453172205,0.021148036253776436,0.005287009063444109,0.0015105740181268882
ocelot,0.0014641288433382138,0.01805758906783797,0.0029282576866764276,0.0009760858955588092,0.9331381161542216,0.03416300634455832,0.007320644216691069,0.0019521717911176184
puma,0.000637551801083838,0.01306981192221868,0.004144086707044948,0.005100414408670704,0.01625757092763787,0.9521836149187122,0.004144086707044948,0.004462862607586867
serval,0.023474178403755867,0.006036217303822937,0.008048289738430584,0.022803487592219986,0.028169014084507043,0.03822937625754527,0.8490945674044266,0.02414486921529175
tiger,0.00035842293906810036,0.011827956989247311,0.005734767025089606,0.00967741935483871,0.004659498207885305,0.02258064516129032,0.00967741935483871,0.9354838709677419
