scope,id_size,method,n,AUROC,FPR95,AUPR_OUT,AUPR_OUT_BALANCED
id_size=2,2,class_iqr_huber_k150,168,0.916276185933456,0.43477775534350915,0.9583001569253795,0.8897219568586555
id_size=2,2,class_mad_huber_k150,168,0.9163343349546788,0.4344384751061686,0.9584083464532858,0.8899775055084126
id_size=2,2,class_std_euclidean_k150,168,0.9163863127027587,0.4361618563430265,0.9583378661957037,0.8897703512930368
id_size=2,2,class_std_squared_k150,168,0.9161720551422221,0.43782380940237386,0.9579870856897418,0.8888633480382291
id_size=2,2,global_std_euclidean_k150,168,0.9162393566881083,0.4539022529933342,0.9576223531307668,0.8880317528000887
id_size=2,2,global_std_huber_k150,168,0.9168265951611909,0.4468965755416352,0.9583284288927112,0.8898382502858452
id_size=2,2,global_std_squared_k150,168,0.9159889382104852,0.4560594410413009,0.9572288003325911,0.8870396784608326
id_size=2,2,knn_l2_pooled_k50_kth,168,0.9126030075443464,0.46261451622754957,0.9560062240711404,0.884702457737942
id_size=2,2,knn_raw_classwise_k150_mean,168,0.9188889611393275,0.4268339386761436,0.9609952581681371,0.8963612494751574
id_size=2,2,knn_raw_pooled_k150_kth,168,0.9170685061479059,0.44215023013973803,0.9581251849635364,0.8885074655601282
id_size=2,2,knn_raw_pooled_k150_mean,168,0.9180293414885674,0.42893443320214414,0.960644650376925,0.895783237872862
id_size=2,2,l2_class_std_euclidean_k150,168,0.9132985595236605,0.4654362590668927,0.954922770564186,0.8814297192648894
id_size=2,2,l2_class_std_huber_k150,168,0.9137399318158385,0.46114420642930365,0.9555848336544289,0.8830582831409178
id_size=2,2,l2_class_std_squared_k150,168,0.9130779176743732,0.46746495837164775,0.9545754077750155,0.8805652156998207
id_size=2,2,nnguide_k10,168,0.9142090991003972,0.4473216485901278,0.9575902160381421,0.8886474394056327
id_size=2,2,nnguide_k50,168,0.9174209059603894,0.44610104879370105,0.9585629423621507,0.8907877499925893
id_size=2,2,raw_classwise_huber_k150,168,0.9187379238385732,0.42802295361988435,0.9608260314133474,0.8959697247030292
id_size=2,2,raw_classwise_squared_k150,168,0.9186923498927699,0.42786631625648347,0.9607054933348943,0.8955974173172644
id_size=2,2,raw_pooled_huber_k150,168,0.9178927098463296,0.4298262259159418,0.9605011235948124,0.8954485632675745
id_size=2,2,rsn_class_std_huber_calibrated,168,0.9125986418494375,0.4706218766811019,0.9562506585181988,0.8843149621494485
id_size=2,2,rsn_class_std_huber_k150,168,0.9168620068436832,0.43069809194395847,0.9590279117005069,0.8914715721087015
id_size=2,2,rsn_delta075,168,0.9170109050627818,0.4288131896447621,0.9592525403788885,0.8920537880073193
id_size=2,2,rsn_delta100,168,0.9169546641420616,0.42957234977404984,0.959167015962568,0.8918318581835734
id_size=2,2,rsn_delta200,168,0.9166596351362417,0.43321278221898174,0.9587296960811691,0.8907078548232226
id_size=2,2,rsn_delta300,168,0.9163840187157151,0.4360436321872627,0.9583374183491709,0.8897153378328844
id_size=2,2,rsn_equalbank3000,168,0.9130608427498523,0.4727743364740248,0.9548580518694284,0.8805912386631579
id_size=2,2,rsn_k100,168,0.9168869969134859,0.4248517805634579,0.959861480268776,0.8938528400946202
id_size=2,2,rsn_k25,168,0.9154005571413354,0.4130167916003669,0.9602651983412434,0.895107414658848
id_size=2,2,rsn_k300,168,0.9163943030681255,0.44973489127213845,0.9571955146169435,0.8862119479961204
id_size=2,2,rsn_k50,168,0.916661011894338,0.41311976684933444,0.9606810440839365,0.8961041917081564
id_size=2,2,rsn_tau1e1,168,0.9168691950684027,0.4306968930255978,0.9590340457905919,0.8914861281200397
id_size=2,2,rsn_tau1e2,168,0.9168620068436832,0.4306980919439584,0.9590279117005069,0.8914715721087015
id_size=2,2,rsn_tau1e4,168,0.9168620068436832,0.4306980919439584,0.9590279117005069,0.8914715721087015
id_size=3,3,class_iqr_huber_k150,336,0.8959345383693671,0.501936773660306,0.9118401509333506,0.8656267116947745
id_size=3,3,class_mad_huber_k150,336,0.895982104824409,0.5017593881790032,0.9119875748554416,0.865836915424167
id_size=3,3,class_std_squared_k150,336,0.8959031172399231,0.5065490194372696,0.9108311829345908,0.8642660808708968
id_size=3,3,global_std_huber_k150,336,0.8965892629625413,0.5205863580165763,0.9099277531092254,0.8635747834063577
id_size=3,3,knn_l2_pooled_k50_kth,336,0.891038654430367,0.5372612362818989,0.9053150266717088,0.8573708738374622
id_size=3,3,knn_raw_classwise_k150_mean,336,0.8987744188089669,0.5011138358844806,0.9144464935609842,0.8702082357558047
id_size=3,3,knn_raw_pooled_k150_kth,336,0.8970418181411671,0.5043288259467852,0.9110735194627101,0.8647269782229268
id_size=3,3,knn_raw_pooled_k150_mean,336,0.896922632823582,0.5015201480168259,0.9134416646722766,0.8689417389399559
id_size=3,3,nnguide_k10,336,0.8942103742978238,0.542516632644567,0.9068295789650846,0.8590068173100175
id_size=3,3,nnguide_k50,336,0.8973277370522,0.5425298185583664,0.9090229553608291,0.8625197203609337
id_size=3,3,raw_classwise_huber_k150,336,0.8986049359516807,0.5020469983052845,0.9141739192024507,0.8698144681103679
id_size=3,3,raw_classwise_squared_k150,336,0.8986151508864391,0.5010742145981298,0.9139540950723327,0.8694565661222274
id_size=3,3,raw_pooled_huber_k150,336,0.8967710018971111,0.5022229946540729,0.9132453518200292,0.8686563964785405
id_size=3,3,rsn_class_std_huber_calibrated,336,0.8904614386370969,0.5640438814031038,0.9043425566601897,0.8549934894544711
id_size=3,3,rsn_class_std_huber_k150,336,0.8964875280357005,0.5004616655469656,0.912541672262544,0.8668068286937547
id_size=3,3,rsn_equalbank3000,336,0.8923669925448527,0.5364803690368777,0.9059532756195939,0.8567572325583064
id_size=4,4,class_iqr_huber_k150,420,0.8780887304648141,0.5534260589914822,0.8422970974687676,0.8439639252763123
id_size=4,4,class_mad_huber_k150,420,0.8781151484781708,0.553472228202455,0.8423954669288601,0.8440580370724834
id_size=4,4,class_std_euclidean_k150,420,0.8784354767382305,0.558474133420141,0.8413218546550701,0.8431931933894167
id_size=4,4,class_std_squared_k150,420,0.8783095636035297,0.5575073400948867,0.8407910918590288,0.8426300556130452
id_size=4,4,global_std_euclidean_k150,420,0.8787934554750623,0.5809357245155005,0.8362483627687336,0.8390336476450314
id_size=4,4,global_std_huber_k150,420,0.8793495144158883,0.5739898573198013,0.8379999530996709,0.8407876856189795
id_size=4,4,global_std_squared_k150,420,0.8786156899857801,0.5798664498867921,0.8354703060223054,0.8382258760815974
id_size=4,4,knn_l2_pooled_k50_kth,420,0.8729171699975593,0.5950916383109044,0.8311202574921088,0.8340232987270596
id_size=4,4,knn_raw_classwise_k150_mean,420,0.8816155911004964,0.555495915425228,0.8442892021154538,0.8470570155271663
id_size=4,4,knn_raw_pooled_k150_kth,420,0.8795129752247638,0.5519697395219706,0.8414853811691113,0.8440431464003275
id_size=4,4,knn_raw_pooled_k150_mean,420,0.8789245191762864,0.5596344271784818,0.8425842409099183,0.8453348925645154
id_size=4,4,l2_class_std_euclidean_k150,420,0.8757146674920769,0.5841719792644089,0.8338234516439877,0.8357086655244029
id_size=4,4,l2_class_std_huber_k150,420,0.8760647572177656,0.5786940811026328,0.8354704566407447,0.8373427330695402
id_size=4,4,l2_class_std_squared_k150,420,0.8755865153879968,0.5830832129440795,0.8333371635495427,0.8351928558924852
id_size=4,4,nnguide_k10,420,0.8739332147752723,0.619843179202029,0.8268808291668874,0.8297727045594042
id_size=4,4,nnguide_k50,420,0.8783909106219103,0.6165182838038046,0.8329061747816172,0.8360571842222823
id_size=4,4,raw_classwise_huber_k150,420,0.881429996545122,0.5561783559756031,0.8438995414783833,0.8466768953545105
id_size=4,4,raw_classwise_squared_k150,420,0.8814792332181507,0.5543482769468482,0.8436895619840371,0.8464380397066366
id_size=4,4,raw_pooled_huber_k150,420,0.8787599570843183,0.5599747510931828,0.842328328248603,0.8450884509915219
id_size=4,4,rsn_class_std_huber_calibrated,420,0.8722721917662045,0.6280878286048497,0.8279124504364174,0.8303324933671591
id_size=4,4,rsn_class_std_huber_k150,420,0.8788115422534948,0.5528047459041302,0.8431329161695251,0.8449826050520535
id_size=4,4,rsn_delta075,420,0.8789084616431746,0.5515911477136571,0.8436975096843368,0.845548774549276
id_size=4,4,rsn_delta100,420,0.878872097857838,0.5520341104470292,0.8434814561398294,0.8453321356851998
id_size=4,4,rsn_delta200,420,0.8786687465779913,0.5543837467322108,0.84241378679978,0.8442616221102845
id_size=4,4,rsn_delta300,420,0.8784608544340238,0.5562749610439136,0.8415012431177978,0.8433451664608789
id_size=4,4,rsn_equalbank3000,420,0.874102314000395,0.5863145252029661,0.8336674419545482,0.8357859393404126
id_size=4,4,rsn_k100,420,0.8783717705361287,0.5575192530870181,0.8441380927359511,0.8460804247481817
id_size=4,4,rsn_k25,420,0.875299938247271,0.5645444977890918,0.8413002789722516,0.8432752359169862
id_size=4,4,rsn_k300,420,0.8795922871669364,0.5585690103740953,0.8410338847796994,0.842667608495281
