scope,method_a,method_b,metric,cluster_unit,n_clusters,mean_effect,ci_low,ci_high,permutation_p,good_rate
id_size=6,rsn_class_std_huber_k150,class_iqr_huber_k150,AUPR_OUT_BALANCED,id_set_after_seed_backbone_mean,28,0.0007759109390356639,-0.0016444380728646783,0.0030795435399392384,0.5345465453454654,0.5357142857142857
id_size=7,rsn_class_std_huber_k150,class_iqr_huber_k150,AUPR_OUT_BALANCED,id_set_after_seed_backbone_mean,8,0.00019218343194078724,-0.005601771329305516,0.005321609082123969,0.9374062593740626,0.625
m2_m7_equal_weight,rsn_class_std_huber_k150,class_iqr_huber_k150,AUPR_OUT_BALANCED,id_set_stratified_by_id_size,246,0.000985469403598552,-0.00013970654783267784,0.00201231303656135,0.00039996000399960006,0.6260162601626016
id_size=2,rsn_class_std_huber_k150,class_mad_huber_k150,AUROC,id_set_after_seed_backbone_mean,28,0.0005276718890042829,-0.000656171299748767,0.0016936770526594523,0.3965603439656034,0.6071428571428571
id_size=3,rsn_class_std_huber_k150,class_mad_huber_k150,AUROC,id_set_after_seed_backbone_mean,56,0.0005054232112916154,-0.00044526647577371767,0.0014316554765439597,0.2880711928807119,0.5535714285714286
id_size=4,rsn_class_std_huber_k150,class_mad_huber_k150,AUROC,id_set_after_seed_backbone_mean,70,0.0006963937753238919,-0.00022643091963264126,0.0015736503795788217,0.1304869513048695,0.6285714285714286
id_size=5,rsn_class_std_huber_k150,class_mad_huber_k150,AUROC,id_set_after_seed_backbone_mean,56,0.0009690198306246858,-0.00017927204293033497,0.0020387326838603955,0.09299070092990701,0.6428571428571429
id_size=6,rsn_class_std_huber_k150,class_mad_huber_k150,AUROC,id_set_after_seed_backbone_mean,28,0.0012119707589240553,-0.0005553470789620927,0.0028670149784459768,0.19048095190480951,0.6428571428571429
id_size=7,rsn_class_std_huber_k150,class_mad_huber_k150,AUROC,id_set_after_seed_backbone_mean,8,0.0012732893733820487,-0.0027365799788750546,0.0054902472769740324,0.5968403159684031,0.625
m2_m7_equal_weight,rsn_class_std_huber_k150,class_mad_huber_k150,AUROC,id_set_stratified_by_id_size,246,0.0008639614730917633,5.668038225261717e-05,0.0017187567563445693,0.0021997800219978004,0.6138211382113821
id_size=2,rsn_class_std_huber_k150,class_mad_huber_k150,FPR95,id_set_after_seed_backbone_mean,28,0.003740383162210123,-0.0009934777792528784,0.008451088893930812,0.1366863313668633,0.6785714285714286
id_size=3,rsn_class_std_huber_k150,class_mad_huber_k150,FPR95,id_set_after_seed_backbone_mean,56,0.0012977226320377035,-0.0024709404107365303,0.004935889823311108,0.5094490550944906,0.5357142857142857
id_size=4,rsn_class_std_huber_k150,class_mad_huber_k150,FPR95,id_set_after_seed_backbone_mean,70,0.0006674822983249613,-0.003196908641070505,0.004206698168108461,0.7322267773222678,0.5571428571428572
id_size=5,rsn_class_std_huber_k150,class_mad_huber_k150,FPR95,id_set_after_seed_backbone_mean,56,2.9331322898298873e-05,-0.005173337285034507,0.005066261242265352,0.9894010598940106,0.5357142857142857
id_size=6,rsn_class_std_huber_k150,class_mad_huber_k150,FPR95,id_set_after_seed_backbone_mean,28,0.00035540651088438325,-0.009231747822088748,0.009461892277189696,0.9447055294470553,0.6428571428571429
