backbone,id_size,method,ood_class,n,AUROC,FPR95,AUPR_OUT
dinov2_vitb14,4,diag_huber_raw,jaguar,105,0.734056,0.782203,0.3452
dinov2_vitb14,4,diag_huber_raw,leopard,105,0.715151,0.766768,0.36367
dinov2_vitb14,4,diag_huber_raw,lion,105,0.950108,0.299388,0.779051
dinov2_vitb14,4,diag_huber_raw,ocelot,105,0.762684,0.90559,0.337755
dinov2_vitb14,4,diag_huber_raw,puma,105,0.907703,0.62374,0.674795
dinov2_vitb14,4,diag_huber_raw,serval,105,0.899819,0.597878,0.525719
dinov2_vitb14,4,diag_huber_raw,tiger,105,0.969454,0.082289,0.875723
dinov2_vitb14,5,diag_huber_raw,cheetah,63,0.903534,0.745815,0.462499
dinov2_vitb14,5,diag_huber_raw,jaguar,63,0.6912,0.84407,0.249186
dinov2_vitb14,5,diag_huber_raw,leopard,63,0.660532,0.837843,0.258941
dinov2_vitb14,5,diag_huber_raw,lion,63,0.945659,0.332866,0.723416
dinov2_vitb14,5,diag_huber_raw,ocelot,63,0.738844,0.940643,0.258552
dinov2_vitb14,5,diag_huber_raw,puma,63,0.900217,0.682821,0.605322
dinov2_vitb14,5,diag_huber_raw,serval,63,0.888476,0.658111,0.437828
dinov2_vitb14,5,diag_huber_raw,tiger,63,0.967949,0.072825,0.843251
dinov2_vitb14,6,diag_huber_raw,cheetah,21,0.899455,0.769038,0.40474
dinov2_vitb14,6,diag_huber_raw,jaguar,21,0.65167,0.896152,0.177865
dinov2_vitb14,6,diag_huber_raw,leopard,21,0.607553,0.900503,0.176886
dinov2_vitb14,6,diag_huber_raw,lion,21,0.941429,0.364065,0.669602
dinov2_vitb14,6,diag_huber_raw,ocelot,21,0.721181,0.95628,0.20779
dinov2_vitb14,6,diag_huber_raw,puma,21,0.893864,0.736815,0.545041
dinov2_vitb14,6,diag_huber_raw,serval,21,0.878359,0.713537,0.364949
dinov2_vitb14,6,diag_huber_raw,tiger,21,0.96678,0.066053,0.81101
dinov2_vitb14,7,diag_huber_raw,cheetah,3,0.896098,0.784423,0.359795
dinov2_vitb14,7,diag_huber_raw,jaguar,3,0.61511,0.939476,0.124811
dinov2_vitb14,7,diag_huber_raw,leopard,3,0.555892,0.958866,0.112718
dinov2_vitb14,7,diag_huber_raw,lion,3,0.937347,0.400588,0.617776
dinov2_vitb14,7,diag_huber_raw,ocelot,3,0.708616,0.963686,0.174829
dinov2_vitb14,7,diag_huber_raw,puma,3,0.888412,0.790703,0.492651
dinov2_vitb14,7,diag_huber_raw,serval,3,0.86927,0.762877,0.305014
dinov2_vitb14,7,diag_huber_raw,tiger,3,0.965865,0.063736,0.778735
