job_kind,protocol,seed,backbone,method,variant,id_size,id_set,ood_set,job_id,class_a,class_b,n_a,n_b,mean_a,mean_b,std_a,std_b,ks_stat,ks_pvalue
rsn_ks,fair,1,dinov2_vitb14,rsn,main,4,jaguar|leopard|ocelot|serval,cheetah|lion|puma|tiger,24395c321428ae8b68a7613b38d6cf50022d9e0c,jaguar,ocelot,1740,2037,651.6267405016669,674.3079902150787,235.87798496653417,231.61720563696488,0.08077632759467102,8.85986808229572e-06
rsn_ks,fair,1,dinov2_vitb14,rsn,main,4,jaguar|leopard|ocelot|serval,cheetah|lion|puma|tiger,24395c321428ae8b68a7613b38d6cf50022d9e0c,jaguar,serval,1740,1536,651.6267405016669,733.1448737581571,235.87798496653417,339.4895505280329,0.14046336206896548,1.6745986079993892e-14
rsn_ks,fair,1,dinov2_vitb14,rsn,main,4,jaguar|leopard|ocelot|serval,cheetah|lion|puma|tiger,24395c321428ae8b68a7613b38d6cf50022d9e0c,leopard,ocelot,1818,2037,687.0722892266033,674.3079902150787,280.5356236920951,231.61720563696488,0.0708112784768904,0.0001222629741218819
rsn_ks,fair,1,dinov2_vitb14,rsn,main,4,jaguar|leopard|ocelot|serval,cheetah|lion|puma|tiger,24395c321428ae8b68a7613b38d6cf50022d9e0c,leopard,serval,1818,1536,687.0722892266033,733.1448737581571,280.5356236920951,339.4895505280329,0.10157324326182615,6.174949609788477e-08
rsn_ks,fair,1,dinov2_vitb14,rsn,main,4,jaguar|leopard|ocelot|serval,cheetah|lion|puma|tiger,24395c321428ae8b68a7613b38d6cf50022d9e0c,ocelot,serval,2037,1536,674.3079902150787,733.1448737581571,231.61720563696488,339.4895505280329,0.1507060781786942,8.08181761648291e-18
rsn_ks,fair,0,dinov2_vitl14,rsn,main,2,cheetah|leopard,jaguar|lion|ocelot|puma|serval|tiger,8c263071ff065c3ce8d329705672c510218f738b,cheetah,leopard,1888,1830,842.2219045445071,914.8910654537013,430.19371827776473,378.32930457183465,0.22371607854033526,3.014180857662163e-41
rsn_ks,fair,0,dinov2_vitb14,rsn,main,2,cheetah|ocelot,jaguar|leopard|lion|puma|serval|tiger,66f0ecd67f96f2dde5446d2518296b869520a09f,cheetah,ocelot,1888,2063,665.774919881659,665.136170690983,250.4837323985479,221.09540983446365,0.08960077474798096,2.421346476083879e-07
rsn_ks,fair,1,dinov2_vitl14,rsn,main,4,jaguar|leopard|ocelot|serval,cheetah|lion|puma|tiger,2d9799a8f56eba7a1f0923ba2e8e00c5fe88e7b0,jaguar,leopard,1740,1818,855.1660552803128,912.7405106782651,332.26680425478224,383.3092475182443,0.06817267933689919,0.00048193857661751015
rsn_ks,fair,1,dinov2_vitl14,rsn,main,4,jaguar|leopard|ocelot|serval,cheetah|lion|puma|tiger,2d9799a8f56eba7a1f0923ba2e8e00c5fe88e7b0,jaguar,ocelot,1740,2037,855.1660552803128,846.6612073610855,332.26680425478224,362.6737207588586,0.07541093223638551,4.302541094927057e-05
rsn_ks,fair,1,dinov2_vitl14,rsn,main,4,jaguar|leopard|ocelot|serval,cheetah|lion|puma|tiger,2d9799a8f56eba7a1f0923ba2e8e00c5fe88e7b0,jaguar,serval,1740,1536,855.1660552803128,960.0032562017441,332.26680425478224,527.4338420350596,0.1525682471264368,4.8771833931287106e-17
