job_kind,scope,protocol,seed,backbone,id_size,id_set_id,id_set,ood_set,method,variant,job_id,ood_class,id_n,ood_n,AUROC,FPR95,AUPR_IN,AUPR_OUT,DetectionError,OSCR,AUOSC,score_mean_id,score_std_id,score_mean_ood,score_std_ood
cleaned_fold_suite,fair,fair,0,dinov2_vitb14,2,0,cheetah|jaguar,leopard|lion|ocelot|puma|serval|tiger,diag_huber_raw,main,19339081c8536b4b46f358d6916debda424885ff,leopard,3670,1823,0.5842337764053325,0.9281404278661547,0.7642316022896252,0.38286457706073995,0.4256239901590485,0.5842435665377758,0.5842435665377758,-660.0491149486573,243.60120502332984,-720.2714594319439,239.81153569876759
cleaned_fold_suite,fair,fair,0,dinov2_vitb14,2,0,cheetah|jaguar,leopard|lion|ocelot|puma|serval|tiger,diag_huber_raw,main,19339081c8536b4b46f358d6916debda424885ff,lion,3670,2648,0.9822175699926734,0.08496978851963746,0.9883287895244006,0.9711620860991045,0.06491444882570363,0.9821430188430732,0.9821430188430732,-660.0491149486573,243.60120502332984,-1403.0607373102193,168.9260923830956
cleaned_fold_suite,fair,fair,0,dinov2_vitb14,2,0,cheetah|jaguar,leopard|lion|ocelot|puma|serval|tiger,diag_huber_raw,main,19339081c8536b4b46f358d6916debda424885ff,ocelot,3670,2049,0.7538524142168108,0.915568570034163,0.870937658373209,0.5292962582764268,0.2789370238422943,0.7538278125968273,0.7538278125968273,-660.0491149486573,243.60120502332984,-853.1870072356895,195.6204600082953
cleaned_fold_suite,fair,fair,0,dinov2_vitb14,2,0,cheetah|jaguar,leopard|lion|ocelot|puma|serval|tiger,diag_huber_raw,main,19339081c8536b4b46f358d6916debda424885ff,puma,3670,3137,0.9426816610048476,0.2024226968441186,0.9519171037405731,0.9127542252191749,0.11269105924801893,0.9426605540446755,0.9426605540446755,-660.0491149486573,243.60120502332984,-1227.6295825105813,197.8026970831773
cleaned_fold_suite,fair,fair,0,dinov2_vitb14,2,0,cheetah|jaguar,leopard|lion|ocelot|puma|serval|tiger,diag_huber_raw,main,19339081c8536b4b46f358d6916debda424885ff,serval,3670,1491,0.9352272581903774,0.40979208584842386,0.9749628874946752,0.8120950185111495,0.12392456464490852,0.9351683214637508,0.9351683214637508,-660.0491149486573,243.60120502332984,-1179.5858321723963,201.4896518231646
cleaned_fold_suite,fair,fair,0,dinov2_vitb14,2,0,cheetah|jaguar,leopard|lion|ocelot|puma|serval|tiger,diag_huber_raw,main,19339081c8536b4b46f358d6916debda424885ff,tiger,3670,2790,0.9689890910511461,0.056630824372759854,0.9799842130035505,0.9298757494853481,0.05083990116511871,0.9689947066694012,0.9689947066694012,-660.0491149486573,243.60120502332984,-1278.640719593554,125.79084892312795
cleaned_fold_suite,fair,fair,1,dinov2_vitb14,2,14,leopard|ocelot,cheetah|jaguar|lion|puma|serval|tiger,diag_huber_raw,main,88fe88cac25f896b628f4cfc4e0768d44976dcf9,cheetah,3929,1905,0.9263038353344035,0.6992125984251969,0.9713082765227748,0.7367814992904512,0.1014487467508913,0.9262401725108871,0.9262401725108871,-678.4402925020928,245.95543944471325,-1125.582431711112,153.56907927862974
cleaned_fold_suite,fair,fair,1,dinov2_vitb14,2,14,leopard|ocelot,cheetah|jaguar|lion|puma|serval|tiger,diag_huber_raw,main,88fe88cac25f896b628f4cfc4e0768d44976dcf9,jaguar,3929,1752,0.6417741974848075,0.9263698630136986,0.8092804660487052,0.398120367951882,0.385098192691972,0.6417771755742046,0.6417771755742046,-678.4402925020928,245.95543944471325,-782.9113174682338,246.46081539048973
cleaned_fold_suite,fair,fair,1,dinov2_vitb14,2,14,leopard|ocelot,cheetah|jaguar|lion|puma|serval|tiger,diag_huber_raw,main,88fe88cac25f896b628f4cfc4e0768d44976dcf9,lion,3929,2632,0.9844231693099631,0.040653495440729485,0.9913120034425345,0.9638724590457843,0.04161020925376806,0.9843535444102423,0.9843535444102423,-678.4402925020928,245.95543944471325,-1491.9339235068092,151.02166432177927
cleaned_fold_suite,fair,fair,1,dinov2_vitb14,2,14,leopard|ocelot,cheetah|jaguar|lion|puma|serval|tiger,diag_huber_raw,main,88fe88cac25f896b628f4cfc4e0768d44976dcf9,puma,3929,3118,0.9507882130393053,0.20333547145606157,0.9624771007717953,0.9146193400968854,0.10600894387240092,0.9507723362944348,0.9507723362944348,-678.4402925020928,245.95543944471325,-1330.9792305663123,229.0789168647663
