method,Macro_AUROC,Macro_FPR95,Macro_AUPR_OUT,delta_AUROC_vs_full,delta_FPR95_vs_full
PULSE,0.9114263360092222,0.3999702361105249,0.626109045593972,0.0,0.0
PULSE-minus-knn,0.9024245667402011,0.4119557888054137,0.6069139571437208,-0.009001769269021076,0.011985552694888824
PULSE-minus-localized,0.8842682257416765,0.5713920210259008,0.5226558215847312,-0.027158110267545665,0.1714217849153759
PULSE-minus-shift,0.9030495893158599,0.4151444459685702,0.6205932625815928,-0.008376746693362302,0.015174209858045296
PULSE-minus-uniform,0.9014608020136995,0.46035999838208197,0.5969403558455542,-0.00996553399552269,0.06038976227155707
PULSE-only-knn,0.852687212838632,0.6029427325581396,0.4935400661301112,-0.05873912317059016,0.20297249644761467
PULSE-only-localized,0.8987309023949461,0.42496894300707666,0.6273276457118676,-0.012695433614276053,0.02499870689655176
PULSE-only-shift,0.6616667164955525,0.7548043747098299,0.3024061079427159,-0.24975961951366965,0.35483413859930496
PULSE-only-uniform,0.5451036760564865,0.9181167507280632,0.20573720022980124,-0.3663226599527357,0.5181465146175384
