method_a,method_b,n_common,all_score_fingerprints_equal,all_metrics_equal
openmax,rsn_reported,168,False,False
openmax,scale,168,False,False
openmax,vim,168,False,False
react,rmd,168,False,False
react,rsn_paper,168,False,False
react,rsn_reported,168,False,False
react,scale,168,False,False
react,vim,168,False,False
rmd,rsn_paper,168,False,False
rmd,rsn_reported,168,False,False
rmd,scale,168,False,False
rmd,vim,168,False,False
rsn_paper,rsn_reported,168,False,False
rsn_paper,scale,168,False,False
rsn_paper,vim,168,False,False
rsn_reported,scale,168,False,False
rsn_reported,vim,168,False,False
scale,vim,168,False,False
